filename,commons_title,category,source_url,original_url,license,license_url,author,original_width,original_height,width,height
track_0001.jpg,synthetic animal track calibration image 0001,synthetic/snow,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
track_0002.jpg,synthetic animal track calibration image 0002,synthetic/snow,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
track_0003.jpg,synthetic animal track calibration image 0003,synthetic/mud,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
track_0004.jpg,synthetic animal track calibration image 0004,synthetic/snow,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
track_0005.jpg,synthetic animal track calibration image 0005,synthetic/mud,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
track_0006.jpg,synthetic animal track calibration image 0006,synthetic/snow,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
track_0007.jpg,synthetic animal track calibration image 0007,synthetic/snow,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
track_0008.jpg,synthetic animal track calibration image 0008,synthetic/mud,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
track_0009.jpg,synthetic animal track calibration image 0009,synthetic/sand,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
track_0010.jpg,synthetic animal track calibration image 0010,synthetic/mud,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
track_0011.jpg,synthetic animal track calibration image 0011,synthetic/snow,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
track_0012.jpg,synthetic animal track calibration image 0012,synthetic/snow,generated locally by scripts/generate_synthetic_tracks_dataset.py,generated locally by scripts/generate_synthetic_tracks_dataset.py,educational synthetic asset,,procedural generator,640,480,640,480
